PLSS,biomass_b1,biomass_b2,PFT
Alder,-2.2094,2.3867,Temperate Broadleaf Deciduous Tree
Ash,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Basswood,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Beech,-2.0127,2.4342,Temperate Broadleaf Deciduous Tree
Birch,-1.9123,2.3651,Temperate Broadleaf Deciduous Tree
Black gum,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Buckeye,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Cedar/juniper,-2.0336,2.2592,Temperate Needleleaf Evergreen Tree
Cherry,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Dogwood,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Elm,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Fir,-2.5384,2.4814,Temperate Needleleaf Evergreen Tree
Hackberry,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Hemlock,-2.5384,2.4814,Temperate Needleleaf Evergreen Tree
Hickory,-2.0127,2.4342,Temperate Broadleaf Deciduous Tree
Ironwood,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Maple,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
No tree,0,0,Grass
Oak,-2.0127,2.4342,Temperate Broadleaf Deciduous Tree
Other hardwood,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Other softwood,-2.225522,2.4104,NA
Pine,-2.5356,2.4349,Temperate Needleleaf Evergreen Tree
Poplar,-2.2094,2.3867,Temperate Broadleaf Deciduous Tree
Spruce,-2.0773,2.3323,Temperate Needleleaf Evergreen Tree
Sycamore,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Tamarack,-2.0336,2.2592,Temperate Needleleaf Deciduous Tree
Tulip poplar,-2.2094,2.3867,Temperate Broadleaf Deciduous Tree
Unknown,0,0,Grass
Unknown tree,-2.225522,2.4104,Temperate Broadleaf Deciduous Tree
Walnut,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Willow,-2.2094,2.3867,Temperate Broadleaf Deciduous Tree
Sweet gum,-2.48,2.4835,Temperate Broadleaf Deciduous Tree
Douglas fir,–2.2304,2.4435,Temperate Needleleaf Evergreen Tree
